School Name,Department Name,URL,Degree,Description
Bath Spa University,Business and Management with Integrated Foundation Year (London),https://www.bathspa.ac.uk/courses/ify-business-and-management-london/,"Level: Integrated, Foundation, Undergraduate",Our Business and Management degree with Integrated Foundation Year will develop your academic skills and prepare you for degree-level learning. Taught at our Bath Spa University London campus.
Bath Spa University,Business Psychology,https://www.bathspa.ac.uk/courses/ug-business-psychology/,Level: Undergraduate,Discover the science of human behaviour and its applications in the working world.
Bath Spa University,Children's Publishing,https://www.bathspa.ac.uk/courses/pg-childrens-publishing/,Level: Postgraduate,Develop high-quality and innovative print and digital content in this industry-focused publishing course.
Bath Spa University,Click Start,https://www.bathspa.ac.uk/courses/click-start/,Level: Short Course,"Start your new career with this new, free creative digital programme. Receive employability coaching and mentoring from an industry professional."
Bath Spa University,Commercial Music,https://www.bathspa.ac.uk/courses/ug-commercial-music/,Level: Undergraduate,"A vocational Music course for songwriters, producers and performers who want to turn their passion into a career."
Bath Spa University,Commercial Music,https://www.bathspa.ac.uk/courses/pg-commercial-music/,Level: Postgraduate,"Our Commercial Music MA allows you to choose to specialise in one of three key areas: Songwriting, Music Production or Music Business."
Bath Spa University,Computing,https://www.bathspa.ac.uk/courses/ug-computing/,Level: Undergraduate,"Realise your ideas – from design, to development, to deployment – with our Computing degree."
Bath Spa University,Counselling and Psychotherapy Practice (Distance Learning),https://www.bathspa.ac.uk/courses/pg-counselling-and-psychotherapy-practice/,Level: Postgraduate,Gain an academic qualification in Counselling and Psychotherapy Practice to complement your professional counselling/psychotherapy training.
Bath Spa University,Creative Arts Practice,https://www.bathspa.ac.uk/courses/ug-creative-arts-practice/,Level: Undergraduate,Experience a broad range of disciplines on this contemporary and creative Art degree.
Bath Spa University,Creative Computing,https://www.bathspa.ac.uk/courses/ug-creative-computing/,Level: Undergraduate,"Join the next generation of digital creatives with our hands-on, industry-focused Creative Computing degree."
Bath Spa University,Creative Computing,https://www.bathspa.ac.uk/courses/pg-creative-computing/,Level: Postgraduate,Push the boundaries of digital creativity on our MSc Creative Computing course.
Bath Spa University,Creative Computing (Gaming),https://www.bathspa.ac.uk/courses/ug-creative-computing-gaming/,Level: Undergraduate,"Shape playable worlds that inform, persuade and entertain."
Bath Spa University,Creative Computing (Web Technologies),https://www.bathspa.ac.uk/courses/ug-creative-computing-web-technologies/,Level: Undergraduate,Reimagine the web as a canvas for connected creativity.
Bath Spa University,Creative Media,https://www.bathspa.ac.uk/courses/ug-creative-media/,Level: Undergraduate,"Become a critically-informed, industry-ready media practitioner with this innovative course."
Bath Spa University,Creative Music Technology,https://www.bathspa.ac.uk/courses/ug-creative-music-technology/,Level: Undergraduate,Innovate and thrive as an artist producer or audio professional on our Creative Music Technology course.
